book_title,chapter,emotion,sentiment
Harry Potter and the Prisoner of Azkaban,40,Disgust,5.794953640370877e-4
Harry Potter and the Prisoner of Azkaban,40,Fear,9.784921720626236e-4
Harry Potter and the Prisoner of Azkaban,40,Joy,6.459948320413437e-4
Harry Potter and the Prisoner of Azkaban,40,Sadness,0.001947484420124639
Harry Potter and the Prisoner of Azkaban,40,Surprise,5.509955920352637e-4
Harry Potter and the Prisoner of Azkaban,40,Trust,0.0012729898160814715
Harry Potter and the Prisoner of Azkaban,41,Anger,0.0016078372719114569
Harry Potter and the Prisoner of Azkaban,41,Anticipation,0.001121746933891714
Harry Potter and the Prisoner of Azkaban,41,Disgust,7.104397247980856e-4
Harry Potter and the Prisoner of Azkaban,41,Fear,0.0010656595871971282
Harry Potter and the Prisoner of Azkaban,41,Joy,6.076129225246785e-4
Harry Potter and the Prisoner of Azkaban,41,Sadness,0.0017574035297636852
Harry Potter and the Prisoner of Azkaban,41,Surprise,7.197876159138498e-4
Harry Potter and the Prisoner of Azkaban,41,Trust,0.001187182171702064
Harry Potter and the Prisoner of Azkaban,42,Anger,0.0011789672247111528
Harry Potter and the Prisoner of Azkaban,42,Anticipation,8.694883282244753e-4
Harry Potter and the Prisoner of Azkaban,42,Disgust,7.221174251355812e-4
Harry Potter and the Prisoner of Azkaban,42,Fear,0.001149493044093374
Harry Potter and the Prisoner of Azkaban,42,Joy,5.600094317377976e-4
Harry Potter and the Prisoner of Azkaban,42,Sadness,0.001355812308417826
Harry Potter and the Prisoner of Azkaban,42,Surprise,6.926432445178024e-4
Harry Potter and the Prisoner of Azkaban,42,Trust,0.0014737090308889413
Harry Potter and the Prisoner of Azkaban,43,Anger,0.001392203659506762
Harry Potter and the Prisoner of Azkaban,43,Anticipation,8.576968973747017e-4
Harry Potter and the Prisoner of Azkaban,43,Disgust,7.209626093874304e-4
Harry Potter and the Prisoner of Azkaban,43,Fear,7.333929992044551e-4
Harry Potter and the Prisoner of Azkaban,43,Joy,7.333929992044551e-4
Harry Potter and the Prisoner of Azkaban,43,Sadness,0.0017651153540175022
Harry Potter and the Prisoner of Azkaban,43,Surprise,6.090891010342084e-4
Harry Potter and the Prisoner of Azkaban,43,Trust,0.00128033015115354
Harry Potter and the Prisoner of Azkaban,44,Anger,0.0015568549153831526
Harry Potter and the Prisoner of Azkaban,44,Anticipation,8.200228180262407e-4
Harry Potter and the Prisoner of Azkaban,44,Disgust,5.942194333523484e-4
Harry Potter and the Prisoner of Azkaban,44,Fear,9.269823160296634e-4
Harry Potter and the Prisoner of Azkaban,44,Joy,4.872599353489257e-4
Harry Potter and the Prisoner of Azkaban,44,Sadness,0.0016756988020536223
Harry Potter and the Prisoner of Azkaban,44,Surprise,5.823350446853014e-4
Harry Potter and the Prisoner of Azkaban,44,Trust,0.0013429359193763073
Harry Potter and the Prisoner of Azkaban,45,Anger,0.0013873179697440974
Harry Potter and the Prisoner of Azkaban,45,Anticipation,9.36660540082002e-4
Harry Potter and the Prisoner of Azkaban,45,Disgust,6.450586738300579e-4
Harry Potter and the Prisoner of Azkaban,45,Fear,9.720062208398134e-4
Harry Potter and the Prisoner of Azkaban,45,Joy,7.687685564823979e-4
Harry Potter and the Prisoner of Azkaban,45,Sadness,0.0018644846599745512
Harry Potter and the Prisoner of Azkaban,45,Surprise,6.273858334511522e-4
Harry Potter and the Prisoner of Azkaban,45,Trust,0.0011398982044394175
Harry Potter and the Prisoner of Azkaban,46,Anger,0.0013438451890342234
Harry Potter and the Prisoner of Azkaban,46,Anticipation,6.719225945171117e-4
Harry Potter and the Prisoner of Azkaban,46,Disgust,5.823329152481634e-4
Harry Potter and the Prisoner of Azkaban,46,Fear,9.630890521411935e-4
Harry Potter and the Prisoner of Azkaban,46,Joy,5.935316251567819e-4
Harry Potter and the Prisoner of Azkaban,46,Sadness,0.0014782297079376457
Harry Potter and the Prisoner of Azkaban,46,Surprise,4.927432359792151e-4
Harry Potter and the Prisoner of Azkaban,46,Trust,0.0011198709908618527
Harry Potter and the Prisoner of Azkaban,47,Anger,0.0017495299770210987
Harry Potter and the Prisoner of Azkaban,47,Anticipation,0.0012533946104031752
Harry Potter and the Prisoner of Azkaban,47,Disgust,4.569667850428243e-4
Harry Potter and the Prisoner of Azkaban,47,Fear,8.355964069354503e-4
Harry Potter and the Prisoner of Azkaban,47,Joy,8.61708794652183e-4
Harry Potter and the Prisoner of Azkaban,47,Sadness,0.0020367662419051597
Harry Potter and the Prisoner of Azkaban,47,Surprise,6.005849174848548e-4
Harry Potter and the Prisoner of Azkaban,47,Trust,0.0014361813244203052
Harry Potter and the Prisoner of Azkaban,48,Anger,0.0015753828032979977
